threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.01,Foveloar p53+,5754,122,0.0007107983080669782,0.021202641640597843,0.008911797367349119,-3.6482024094743983
0.01,Goblet,8787,1128,0.006571971241799601,0.1283714578354387,0.013609308909783928,-1.0501956217805954
0.01,Goblet Ki67+ p53+,241,4,2.3304862559573056e-05,0.016597510373443983,0.00037326089077704863,-4.001423406435082
0.01,Goblet p53+,3441,42,0.0002447010568755171,0.012205754141238012,0.005329422096115454,-4.444881238022368
0.01,Lymphatic,9878,4059,0.023648609282326757,0.410913140311804,0.015299050120728989,0.6283132289317775
0.01,Lymphatic CD73+,431,88,0.0005127069763106072,0.20417633410672853,0.0006675329623440164,-0.3807038969020913
0.01,M1 Macrophage,25157,10469,0.06099465153404258,0.41614659935604403,0.038963171075843205,0.6465716304981224
0.01,M2 Macrophage,18904,8080,0.04707582237033757,0.42742276766821835,0.02927852232053663,0.6851435359433347
0.01,Neck,25607,2782,0.01620853191018306,0.10864216815714453,0.03966013124534392,-1.290935974695203
0.01,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.01,Neck p53+,1469,256,0.0014915112038126756,0.17426820966643974,0.0022751877533256615,-0.609210456478447
0.01,Nerve,6014,1780,0.01037066383901001,0.2959760558696375,0.009314485465282865,0.15496024841227646
0.01,Neuroendocrine,5524,1396,0.008133397033290996,0.25271542360608257,0.008555573280715422,-0.07300647838891218
0.01,Neutrophil,21171,7342,0.042776075228096344,0.3467951443011667,0.03278965277444355,0.3835634843601213
0.01,Paneth,419,17,9.904566587818549e-05,0.0405727923627685,0.0006489473578239974,-2.7119233587869087
0.01,Parietal,8314,2351,0.013697432969389063,0.2827760404137599,0.012876726331619844,0.0891396752223137
0.01,Plasma,15464,4437,0.02585091879420641,0.2869244697361614,0.023950649024797842,0.11015080208778415
0.01,Smooth Muscle,56162,12559,0.0731714422214195,0.2236209536697411,0.08698372675444235,-0.24946482331681882
0.01,Squamou p63+ EGFRhi,13701,1593,0.009281161514349968,0.11626888548281147,0.021220113960731715,-1.1930550452113013
0.01,Squamous Annexin A1+,26751,12257,0.07141192509817174,0.4581884789353669,0.0414319588762524,0.7854209641993899
0.01,Squamous p63+,24430,496,0.002889802957387059,0.02030290626279165,0.03783719320200539,-3.7107615807536902
0.01,Stroma,69178,24337,0.14179261002808236,0.3518025962011044,0.1071429124571563,0.40424592224890243
0.01,Stroma CD73+,840,106,0.0006175788578286859,0.1261904761904762,0.0013009923164013313,-1.0749159450667423
0.1,B cell,12540,1584,0.018564748074962202,0.12631578947368421,0.019421956723419877,-0.06512281545420696
0.1,CD4+ T cell,15029,3780,0.04430223972434162,0.2515137401024686,0.023276920860947153,0.9284793805029616
0.1,CD4+ T cell PD1+,7217,1606,0.018822591798225565,0.22253013717611195,0.011177692318414771,0.7518428743951702
0.1,CD4+ Treg,10300,2514,0.02946450546745895,0.24407766990291263,0.015952643879682992,0.8851824647159919
0.1,CD8+ T cell,24316,5176,0.060663595982325985,0.21286395788781048,0.0376606299590652,0.6877738727456844
0.1,CD8+ T cell PD1+,7735,1501,0.017591974028104966,0.1940530058177117,0.011979970913528926,0.5542929355931161
0.1,Chief,9348,414,0.00485215006504694,0.044287548138639284,0.014478185921094816,-1.5771845748728577
0.1,DC,2157,420,0.004922471080482402,0.19471488178025034,0.003340762412473419,0.5592052064688586
0.1,Endothelial,32064,6125,0.07178603659036836,0.1910242015968064,0.04966073527749082,0.5315976153539247
0.1,Endothelial CD36hi,9936,2061,0.024155268802081502,0.20742753623188406,0.015388880542575747,0.6504495860211885
0.1,Endothelial aSMAhi,914,14,0.0001640823693494134,0.015317286652078774,0.001415603544274782,-3.108917370934039
0.1,Epithelial,20968,3069,0.035969199395239265,0.146365890881343,0.0324752462979799,0.14742157654849752
