threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.1,CD66+ Enterocyte,49439,4609,0.00763471318060594,0.09322599567143348,0.019681114903570936,-1.3661659694179626
0.1,CD7+ Immune,7174,1487,0.002463184747138432,0.20727627543908558,0.0028558894459478935,-0.21341521301146096
0.1,CD8+ T,200378,56006,0.09277278073183257,0.27950174170817155,0.07976824859215877,0.21788698014765612
0.1,Cycling TA,82846,17092,0.028312544517881694,0.20631050382637664,0.03298006928338433,-0.22015300871518062
0.1,DC,32001,9880,0.016366015670294356,0.3087403518640042,0.012739241449648527,0.36142373755353324
0.1,Endothelial,180746,55557,0.09202902151766636,0.30737609684308365,0.07195296819031195,0.35503468304798946
0.1,Enterocyte,484823,120880,0.2002352200632775,0.24932810530853527,0.19300263295968714,0.05307522782299011
0.1,Goblet,163157,46258,0.07662542033162716,0.28351832897148144,0.0649509833192808,0.23847171201502476
0.1,ICC,33829,11210,0.018569133164372444,0.331372491057968,0.013466947876633856,0.46348352199601106
0.1,Lymphatic,64496,21091,0.03493680531398566,0.3270125279087075,0.025675138793679303,0.4443756012604686
0.1,M1 Macrophage,21825,5879,0.009738441915552684,0.2693699885452463,0.008688289260916193,0.16461881560331726
0.1,M2 Macrophage,112475,34958,0.0579072040285577,0.3108068459657702,0.04477504396891404,0.3710479836804078
0.1,MUC1+ Enterocyte,17869,2969,0.004918087097682586,0.16615367396049024,0.007113449750438097,-0.5324520060006857
0.1,NK,5027,1228,0.0020341566035548047,0.244280883230555,0.0020011926742096544,0.023570664347611348
0.1,Nerve,76899,18628,0.030856896751644054,0.24223982106399303,0.03061263486255186,0.011465753851842985
0.1,Neuroendocrine,14970,4559,0.007551889214663155,0.3045424181696727,0.00595939015972121,0.3416728462243418
0.1,Neutrophil,14657,3136,0.005194719143931488,0.21395920038207,0.005834788348098449,-0.16763454296393995
0.1,Paneth,21381,874,0.0014477629246798854,0.04087741452691642,0.008511537809285184,-2.5555936088937314
0.1,Plasma,128316,20035,0.03318756315327403,0.15613797188191653,0.051081169521361845,-0.6221488399494456
0.1,Smooth muscle,375113,60854,0.10080339246964502,0.16222844849418708,0.14932830467491667,-0.5669434521296423
0.1,Stroma,212923,49473,0.08195100134174825,0.23235160128309296,0.08476227327844484,-0.04866070253340737
0.1,TA,57248,16708,0.027676456459441105,0.29185299049748464,0.022789790772459576,0.280271549289012
0.25,B,35499,1919,0.006582219432467938,0.05405786078481084,0.014131756264525267,-1.102294627060155
0.25,CD4+ T cell,117016,17896,0.06138374099189485,0.15293635058453545,0.04658276545958164,0.39806027515537096
0.25,CD57+ Enterocyte,1895,25,8.575064398733634e-05,0.013192612137203167,0.0007543783802719902,-3.1370540075537217
0.25,CD66+ Enterocyte,49439,2434,0.008348682698607066,0.04923238738647626,0.019681114903570936,-1.2371913656062146
0.25,CD7+ Immune,7174,714,0.002449038392278326,0.0995260663507109,0.0028558894459478935,-0.22172465805684274
0.25,CD8+ T,200378,26763,0.0917977794013233,0.13356256674884467,0.07976824859215877,0.2026446505751246
0.25,Cycling TA,82846,8806,0.030204806838099355,0.106293605002052,0.03298006928338433,-0.12681626505693047
0.25,DC,32001,4895,0.016789976092720458,0.15296396987594138,0.012739241449648527,0.39832077294139273
0.25,Endothelial,180746,26371,0.09045320930360187,0.14590087747446692,0.07195296819031195,0.3301174848746936
0.25,Enterocyte,484823,57590,0.197535183489228,0.1187856186690813,0.19300263295968714,0.033489109047501596
0.25,Goblet,163157,23254,0.07976181901126077,0.14252529771937458,0.0649509833192808,0.29634694004066287
0.25,ICC,33829,5331,0.018285467323859602,0.15758668597948505,0.013466947876633856,0.4412745518530725
0.25,Lymphatic,64496,10346,0.03548704650771927,0.16041304887124783,0.025675138793679303,0.4669204167666171
0.25,M1 Macrophage,21825,2941,0.010087705758670247,0.1347537227949599,0.008688289260916193,0.21545403639770996
0.25,M2 Macrophage,112475,17048,0.0584750791478444,0.15157146032451657,0.04477504396891404,0.38512705283009374
0.25,MUC1+ Enterocyte,17869,1542,0.005289099721138906,0.08629470031898819,0.007113449750438097,-0.4275271350547065
0.25,NK,5027,634,0.00217463633151885,0.12611895762880446,0.0020011926742096544,0.1199140228956086
0.25,Nerve,76899,8642,0.029642282613542428,0.11238117530787137,0.03061263486255186,-0.04647067586820877
0.25,Neuroendocrine,14970,2165,0.007426005769303327,0.14462257849031396,0.00595939015972121,0.31742168480682453
0.25,Neutrophil,14657,1550,0.005316539927214853,0.10575151804598486,0.005834788348098449,-0.13419267368642732
0.25,Paneth,21381,430,0.0014749110765821852,0.020111313783265517,0.008511537809285184,-2.5287910275523133
0.25,Plasma,128316,10244,0.035137183880250944,0.0798341594189345,0.051081169521361845,-0.5397929744874175
0.25,Smooth muscle,375113,28174,0.09663754574796857,0.07510803411238746,0.14932830467491667,-0.6278319232013443
0.25,Stroma,212923,23297,0.079909310118919,0.10941514068466066,0.08476227327844484,-0.08505868022571517
0.25,TA,57248,8532,0.02926497977999815,0.14903577417551706,0.022789790772459576,0.36078758823204043
0.4,B,35499,568,0.007309038501132386,0.016000450716921605,0.014131756264525267,-0.9511871383244976
